filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 36C 17 (cropped)_c-2m-80.csv,263,GTY029 36C 17 (cropped),Mito 27,Mito,Object,0.377,666,878,760.98,241231,34.81,467.58,763.79,585.19,185505.89,59.45,323,509,416.82,132132,33.04,451.96,655.99,522.92,165764.66,50.91,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,264,GTY029 36C 17 (cropped),Mito 28,Mito,Object,0.0441,656,778,719,26603,31.61,468.94,676.23,582.12,21538.33,61.78,318,407,366.59,13564,24.44,451.96,509.66,472.17,17470.16,15.03,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,265,GTY029 36C 17 (cropped),Mito 29,Mito,Object,0.05,669,781,722.4,30341,29.36,499.36,665.62,586.07,24614.87,46.94,342,474,410.81,17254,27.95,457.48,563.91,496.8,20865.5,28.56,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,266,GTY029 36C 17 (cropped),Mito 30,Mito,Object,0.0214,700,824,762.17,13719,28.57,541.84,702.39,632.72,11388.97,45.67,333,414,368.61,6635,19,453.41,493.15,466.62,8399.18,11.14,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,267,GTY029 36C 17 (cropped),Mito 31,Mito,Object,0.0714,691,846,773.27,46396,32.81,487.19,729.92,625.15,37509.15,58.73,332,422,374.4,22464,21.98,452.57,519.17,476.99,28619.69,17.22,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,268,GTY029 36C 17 (cropped),Mito 32,Mito,Object,0.0869,766,916,821.74,59987,33.26,549.9,711.21,627.95,45840.46,33.22,328,527,418.15,30525,37.1,452.53,620.5,522.2,38120.47,49.49,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,269,GTY029 36C 17 (cropped),Mito 33,Mito,Object,0.0143,837,910,876.25,10515,23.27,754.93,871.61,802.24,9626.89,33.69,316,369,343.75,4125,17.02,460.74,509.13,481.11,5773.37,15.48,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,270,GTY029 36C 17 (cropped),Mito 34,Mito,Object,24.63,631,1271,914.52,18916920,98.07,489.94,3429.48,1128.47,23342442,362.29,313,1651,722.2,14938675,237.6,451.95,10476.99,1275.36,26380846,1219.34,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,271,GTY029 36C 17 (cropped),Mito 35,Mito,Object,53.67,608,1446,882.19,39766539,101.13,386.8,5195.84,1045.4,47123704,444.21,299,2864,805.05,36289104,327.87,451.95,21665.97,1427.46,64345536,1891.64,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,272,GTY029 36C 17 (cropped),Mito 36,Mito,Object,0.0643,682,830,740.56,39990,27.07,521.33,700.07,607.91,32826.95,49.19,376,490,431,23274,24.08,451.96,544.66,484.52,26164.13,24.29,NA,NA
